iter	Passed	Remaining
819	62765	13777
820	62837	13700
821	62909	13622
822	62977	13544
823	63045	13466
824	63120	13389
825	63190	13311
826	63260	13233
827	63333	13156
828	63424	13082
829	63509	13008
830	63590	12932
831	63660	12854
832	63731	12776
833	63806	12700
834	63874	12621
835	63942	12543
836	64026	12468
837	64111	12393
838	64205	12320
839	64287	12245
840	64386	12172
841	64467	12097
842	64541	12020
843	64616	11943
844	64685	11865
845	64753	11787
846	64823	11709
847	64894	11632
848	64967	11554
849	65042	11478
850	65108	11399
851	65182	11322
852	65259	11246
853	65334	11169
854	65406	11092
855	65474	11014
856	65544	10936
857	65617	10859
858	65688	10782
859	65759	10705
860	65829	10627
861	65907	10551
862	65976	10473
863	66047	10396
864	66121	10319
865	66188	10241
866	66258	10164
867	66328	10086
868	66403	10010
869	66474	9932
870	66547	9856
871	66623	9779
872	66691	9702
873	66761	9624
874	66831	9547
875	66898	9469
876	66965	9391
877	67032	9314
878	67100	9236
879	67175	9160
880	67247	9083
881	67316	9006
882	67384	8928
883	67456	8851
884	67525	8774
885	67596	8697
886	67666	8620
887	67737	8543
888	67823	8468
889	67894	8391
890	67964	8314
891	68037	8237
892	68112	8161
893	68187	8084
894	68255	8007
895	68341	7932
896	68437	7858
897	68506	7781
898	68574	7704
899	68645	7627
900	68716	7550
901	68783	7473
902	68851	7395
903	68923	7319
904	68992	7242
905	69062	7165
906	69133	7088
907	69210	7012
908	69339	6941
909	69432	6866
910	69498	6789
911	69568	6712
912	69639	6636
913	69707	6558
914	69774	6481
915	69841	6404
916	69907	6327
917	69975	6250
918	70050	6174
919	70117	6097
920	70185	6020
921	70265	5944
922	70350	5868
923	70426	5792
924	70495	5715
925	70564	5639
926	70632	5562
927	70702	5485
928	70770	5408
929	70842	5332
930	70913	5255
931	70986	5179
932	71057	5102
933	71125	5025
934	71191	4949
935	71259	4872
936	71328	4795
937	71398	4719
938	71474	4643
939	71541	4566
940	71631	4491
941	71699	4414
942	71767	4337
943	71835	4261
944	71917	4185
945	72050	4112
946	72154	4038
947	72259	3963
948	72335	3887
949	72414	3811
950	72496	3735
951	72601	3660
952	72676	3584
953	72755	3508
954	72829	3431
955	72904	3355
956	72992	3279
957	73066	3203
958	73139	3126
959	73210	3050
960	73287	2974
961	73356	2897
962	73429	2821
963	73504	2744
964	73600	2669
965	73672	2593
966	73747	2516
967	73821	2440
968	73903	2364
969	73979	2288
970	74064	2212
971	74141	2135
972	74227	2059
973	74355	1984
974	74491	1910
975	74627	1835
976	74747	1759
977	74873	1684
978	74974	1608
979	75071	1532
980	75159	1455
981	75257	1379
982	75348	1303
983	75440	1226
984	75546	1150
985	75639	1073
986	75719	997
987	75812	920
988	75924	844
989	76035	768
990	76113	691
991	76217	614
992	76347	538
993	76441	461
994	76547	384
995	76634	307
996	76720	230
997	76797	153
998	76882	76
999	76969	0
